[1, '虎斑幼犬活体大型广西土猎狗赶山猎犬活物幼崽真狗大骨架混血家养', ['宠物 宠物食品 狗零食']]
[208, '27530碎纸机办公室大型文件碎纸机商用大功率电动碎纸机', ['电脑办公 办公打印 碎纸机']]
[209, '家用碎纸机6.5+600只管，雾化喷壶，收纳盒，试用装', ['电脑办公 办公打印 碎纸机']]
[210, 'A4手摇碎纸机 创意个性 时尚 办公用品 229BS手动迷你碎纸机', ['电脑办公 办公打印 碎纸机']]
[211, '爱普生激光投影仪CB-L200W办公高清投影WXGA宽屏高亮激光无线投屏', ['电脑办公 办公打印 投影机']]
[212, '稚慧光智能高清视频展台网络远程钉钉直播微课录制设备书画投影仪', ['电脑办公 办公打印 投影机']]
[213, '通用投影仪支架极米Z6XZ8X置物架免打孔小米坚果桌面投影机支撑架', ['电脑办公 办公打印 投影机']]
[214, 'NEC-M322X+高清投影仪带HDMI高清接口3200流明', ['电脑办公 办公打印 投影机']]
[215, '极米新品 Z6X Pro 投影仪双摄自适应实时防射眼哈曼卡顿专利音响', ['电脑办公 办公打印 投影机']]
[216, 'Deli/得力204a硒鼓适用惠普cf510a-513a四色硒鼓可单支购买', ['电脑办公 办公打印 硒鼓']]
[217, '巨威适用得力T2S硒鼓得力Deli M2020碳粉盒P2020激光打印机墨粉盒', ['电脑办公 办公打印 墨盒']]
[218, '天威适用惠普m180n硒鼓CF510A/204a粉盒M154 M180 M154nw M154a M', ['电脑办公 办公打印 硒鼓']]
[219, '老班适用佳能328硒鼓 4410 4412 4420 4450 4452 4750易加粉硒鼓', ['电脑办公 办公打印 硒鼓']]
[220, '惠普2612A硒鼓 适用于惠普1020 M1005佳能2900硒鼓', ['电脑办公 办公打印 硒鼓']]
[221, '联想（Lenovo）M100W新品黑白激光无线WiFi打印多功能一体机', ['电脑办公 办公打印 一体机']]
[222, 'Epson/爱普生L3169墨仓式办公家用打印复印扫描无线一体机', ['电脑办公 办公打印 一体机']]
[223, '学生家用打印机佳能MG2580s彩色照片A4黑白作业手机复印一体机', ['电脑办公 办公打印 一体机']]
[224, '惠普（HP）M126nw黑白激光无线多功能一体机（打印 复印 扫描）', ['电脑办公 办公打印 一体机']]
[225, 'HP/惠普tank672彩色家用小型自动双面连供打印机复印一体机A4无线', ['电脑办公 办公打印 一体机']]
[226, '酒店出差旅行宾馆防监听防盗报警器摄像头检测扫描仪监控探测器', ['电脑办公 办公文仪 安防监控']]
[227, '太阳能5G监控摄像头手机远程360度全景监控无需网络高清室外夜视', ['电脑办公 办公文仪 安防监控']]
[228, '欢迎光临感应器店铺进门语音迎宾器红外线感应门铃', ['电脑办公 办公文仪 安防监控']]
[229, '【限时特惠】一氧化碳报警器煤炉煤气中毒探测器煤烟报警器', ['电脑办公 办公文仪 安防监控']]
[230, '太阳能防盗报警器防水户外大音量语音定制防小偷红外线感应警报器', ['电脑办公 办公文仪 安防监控']]
[231, '白板支架式小学生黑板移动式家用教学画板儿童双面办公培训写字板', ['电脑办公 办公文仪 白板封装']]
[232, '孟赢磁性黑板贴黑板纸墙贴可擦写白板不伤墙儿童小学生教学家用', ['电脑办公 办公文仪 白板封装']]
[233, '单双面磁性挂式白板写字板小黑板家用儿童教学可擦移动办公会议白', ['电脑办公 办公文仪 白板封装']]
[234, 'ins简约黑色涂鸦留言板学生家用软磁力冰箱贴照片展示写字板可擦', ['电脑办公 办公文仪 白板封装']]
[235, '【小莹】黑板吸铁石教学平面笑脸圆形强力磁铁磁力贴磁性白板彩色', ['电脑办公 办公文仪 白板封装']]
[236, '便签纸白纸白色空白便条纸办公长方形便笺ins风小本子无粘性可爱', ['电脑办公 办公文仪 办公文具']]
[237, '文具套装7号笔/本子/笔袋/文件袋/ 胶粘用品/其他办公用品', ['电脑办公 办公文仪 办公文具']]
[238, '良乐平夹木质纸质文件夹商务办公用文件夹板A416K32K带挂', ['电脑办公 办公文仪 办公文具']]
[239, '三木按动中性笔黑色红色蓝色0.5m碳素笔速干考试办公商务文具', ['电脑办公 办公文仪 办公文具']]
[240, '得力0391钉书机订书器重型订书机省力型订60页得力大号订书器办公', ['电脑办公 办公文仪 办公文具']]
[241, 'ONNAIS/欧奈斯保险柜家用大型80cm双门办公室全钢防盗指纹密码', ['电脑办公 办公文仪 保险柜']]
[242, '推荐安工保险柜大型单门办公室防盗防撬商用保管箱柜80cm1米', ['电脑办公 办公文仪 保险柜']]
[243, '隐形保险柜家用小型抽屉上翻密码保险箱床头衣柜保管箱车载保险箱', ['电脑办公 办公文仪 保险柜']]
[244, '睿益堡床头保险柜床头隐形保险箱高指纹密码床头柜带报警', ['电脑办公 办公文仪 保险柜']]
[245, '得力保险箱家用防盗小型迷你床头家庭保险柜带指纹锁密码清仓', ['电脑办公 办公文仪 保险柜']]
[246, '晨光文具儿童手工剪刀安全幼儿园塑料剪刀小学生可爱不伤手3-6', ['电脑办公 办公文仪 裁剪用品']]
[247, 'ins风可爱便携式美工刀猫爪拆快递小刀裁纸刀学生手账多用手工刀i', ['电脑办公 办公文仪 裁剪用品']]
[248, '美工刀30°锐角 手工DIY皮革雕刻刀笔刀 自锁日本生产 LTD-05', ['电脑办公 办公文仪 裁剪用品']]
[249, '得力美工刀锌合金重型加厚壁纸刀工业用大号不锈钢全金属刀裁纸刀', ['电脑办公 办公文仪 裁剪用品']]
[250, '迷你美工刀可爱云朵开箱涂改器小刀拆快递神器涂码笔', ['电脑办公 办公文仪 裁剪用品']]
[251, '晨光印泥印章印台红色财务办公用品小号便携盖章按手印快速干印泥', ['电脑办公 办公文仪 财务用品']]
[252, '七彩通信销货清单32开20组送货单大号无碳复写二联三联售货发货本', ['电脑办公 办公文仪 财务用品']]
[253, '公司单位欠款条二联定做个人私人欠款欠条正规货款欠款单欠据印刷', ['电脑办公 办公文仪 财务用品']]
[254, '10个红色印台印泥印章用铁盒工艺快干印泥大中小财务印台', ['电脑办公 办公文仪 财务用品']]
[255, '32K二联三联送货单横款大号两联4联手写无碳复写纸单栏出货单', ['电脑办公 办公文仪 财务用品']]
[256, '美团收银机一体机触摸屏快餐饮奶茶店母婴水果店超市便利店收款机', ['电脑办公 办公文仪 点钞机']]
[257, '管家婆ishop智能收银机AECR C7主屏15.6寸副屏15.6寸副屏不能互动', ['电脑办公 办公文仪 点钞机']]
[258, '掌柜智囊双屏收银机', ['电脑办公 办公文仪 点钞机']]
[259, '科密(comet)验钞机B1+ 2019年新版智能点钞机', ['电脑办公 办公文仪 点钞机']]
[260, '红外线紫光照明验钞灯三合一验钞笔教鞭笔迷你荧光剂检测笔', ['电脑办公 办公文仪 点钞机']]
[261, 'Hivi/惠威 VA4-OS/VA5-OS/VA6-OS/VA8-OS壁挂音响套装会议音箱', ['电脑办公 办公文仪 呼叫会议设备']]
[262, '盈盈筒扬声器专用会议室笔记本台式机电脑麦降噪全指向专业桌面麦', ['电脑办公 办公文仪 呼叫会议设备']]
[263, '高端峰火BM-K-5烽火会议环境降噪高保真拾音器海康大华学校监控专', ['电脑办公 办公文仪 呼叫会议设备']]
[264, '【淘猫猫严选】领夹麦克风话筒专业小蜜蜂胸麦讲课演讲会议导游音', ['电脑办公 办公文仪 呼叫会议设备']]
[265, '直播麦克风视频会议电脑网课采访短视频专业拍vlog摄像收录音', ['电脑办公 办公文仪 呼叫会议设备']]
[266, '学生用会计职业考试审计建筑统计科学函数多功能计算器财务计算', ['电脑办公 办公文仪 计算器']]
[267, '随身便携迷你小号可爱卡通Kitty学生计算器叮当猫计算机12位数', ['电脑办公 办公文仪 计算器']]
[268, '【2001】创意办公充电宝计算器', ['电脑办公 办公文仪 计算器']]
[269, '得力计算器大号大屏大按键计算机器会计专用多功能记算机带语音', ['电脑办公 办公文仪 计算器']]
[270, '透明按键大号语音计算财务办公专用计算器', ['电脑办公 办公文仪 计算器']]
[271, '得力考勤机34521指纹人脸脸部打卡机签到员工智能识别3960z一体机', ['电脑办公 办公文仪 考勤机']]
[272, '签到打卡机考勤架卡位位标方便挂墙放置员工墙挂卡托卡槽制卡直板', ['家居家装 生活日用 收纳用品']]
[273, '钉钉打卡机M1Xpro面部识别打卡机人脸钉钉考勤机WiFi蓝牙异地考勤', ['电脑办公 办公文仪 考勤机']]
[274, 'IFACE702人脸考勤机 IFACE702考勤机 IFACE702', ['电脑办公 办公文仪 考勤机']]
[275, '指纹识别打卡机考勤机员工上班手指签到手机智能打卡神器', ['电脑办公 办公文仪 考勤机']]
[276, '卡通奥特曼接送幼儿园卡校园胸卡门禁卡证件卡套工作证公交卡套交', ['电脑办公 办公文仪 其它']]
[277, '卡通少女可爱员工牌厂牌定制市民门禁公交卡保护套卡通胸卡证件卡', ['电脑办公 办公文仪 其它']]
[278, '驾驶证皮套行驶证皮套驾照本卡包机动车证件保护套男女大容量时', ['箱包饰品 女包 女士钱包卡包']]
[279, '幼儿园接送卡套可爱卡通弹簧绳伸缩学生校园证件套工作公交卡地铁', ['电脑办公 办公文仪 其它']]
[280, '【俞文】驾驶证套女行驶证二合一证件保护套', ['电脑办公 办公文仪 其它']]
[281, '【主播推荐】固体水彩颜料套装铁盒装48色36色画画工具学生美术用', ['电脑办公 办公文仪 书法美术用具']]
[282, '幼儿字帖学前幼儿园初学者练字汉字笔画笔顺拼音字母描红写字本', ['电脑办公 办公文仪 书法美术用具']]
[283, '温莎牛顿油画颜料12色18色套装初学者成人美术手绘颜料管状12ml', ['电脑办公 办公文仪 书法美术用具']]
[284, '笔墨天地狼毫兼毫羊毫毛笔三支装  纯狼毫中楷行书隶书楷书欧体', ['电脑办公 办公文仪 书法美术用具']]
[285, '得力A920练字钢笔学生可换墨囊儿童矫姿卡通可爱硬笔书法', ['电脑办公 办公文仪 书法美术用具']]
[286, '【仙女】护指绷带学生写字水果护手指胶带防磨防茧神器自粘打球缠', ['电脑办公 办公文仪 学生文具教具']]
[287, '【花蕾】英语单词本简约本子英语笔记本厚大学生单词记忆本a5单词', ['图书音像 图书 工具书']]
[288, 'ins限定软萌熊按动中性笔卡通高颜值网红韩版可爱学生0.5黑色笔', ['电脑办公 办公文仪 学生文具教具']]
[289, '手摇削笔器小猪卷皮刀小学生转笔刀铅笔刀卡通削笔机自动刨笔机', ['电脑办公 办公文仪 学生文具教具']]
[290, '直尺套尺学生用文具多功能绘图尺三角尺量角器三角板中小学生考试', ['电脑办公 办公文仪 学生文具教具']]
[291, 'MSI/微星B560M BOMBER+Intel i7 11700 CPU主板套装', ['电脑办公 电脑配件 CPU']]
[292, 'Intel/英特尔【12代新品】intel/英特尔i9 12900K酷睿处理器', ['电脑办公 电脑配件 CPU']]
[293, 'AMD 锐龙  台式机 CPU 处理器 R9 5800X 盒装CPU', ['电脑办公 电脑配件 CPU']]
[294, 'AMD 锐龙 5900Xcpu处理器全新盒装r9台式机电脑12核24线程可搭B55', ['电脑办公 电脑配件 CPU']]
[295, 'AMD 锐龙7 5700X/R5 5600 8核16线程 3.4GHz 65W AM4接口 盒装CPU', ['电脑办公 电脑配件 CPU']]
[296, '笔记本电脑支架 实木立式增高架 创意散热底座颈椎桌面', ['电脑办公 电脑配件 散热器']]
[297, '【优选好品】桌面装饰ins布置笔记本电脑架桌子上收纳置物架支架', ['电脑办公 电脑配件 笔记本配件']]
[298, 'HDMI TO VGA带音频网电脑笔记本投影仪显示器高清VGA转换器', ['电脑办公 外设产品 线缆']]
[299, '适用2020macbookpro13寸保护壳苹果笔记本电脑Air13.3软16套11m1', ['电脑办公 电脑配件 笔记本配件']]
[300, '笔记本手提包电脑包女联想华硕戴尔苹果小米13.3 14 15.6寸保护套', ['电脑办公 电脑配件 笔记本配件']]
[301, '微星额定650W750W850W金牌全模组台式机电脑电源', ['电脑办公 电脑配件 电源']]
[302, '全模组电竞500W台式电脑主机电源宽幅静音电源额定500W峰值600W', ['电脑办公 电脑配件 电源']]
[303, '【乐信】苹果笔记本电脑充电器电源适配器air苹果笔记本', ['电脑办公 电脑配件 电源']]
[304, '正品长城电源G5铜牌电源550W电脑电源 台式机atx电源机箱电源静音', ['电脑办公 电脑配件 电源']]
[305, '苹果电脑充电器Macbookairpro笔记本电源适配器45W60W85W', ['电脑办公 电脑配件 电源']]
[306, '4U机箱8.9寸触摸显示屏铝面板工业电脑机架式一体化工作站服务器', ['电脑办公 电脑整机 服务器工作站']]
[307, '鑫谷（Segotep）直男一号机箱atx主板位240水冷电脑机箱玻璃侧透', ['电脑办公 电脑配件 机箱']]
[308, '动力火车传祺ATX机箱', ['电脑办公 电脑配件 机箱']]
[309, '研祥工控机箱ipc-710h硬盘减震atx工业主板标准19寸4u服务器机箱', ['电脑办公 电脑配件 机箱']]
[310, 'i5.12400F-B660-16G-RTX3050-512GM.2-RANRZ侧透机箱', ['电脑办公 电脑配件 机箱']]
[311, '绿巨能（llano）type-c移动光驱笔记本外置光驱刻录机USB/type-c', ['电脑办公 电脑配件 刻录机光驱']]
[312, '外置dvd光驱USB移动光驱光盘刻录机电脑通用外接读碟读光盘光驱', ['电脑办公 电脑配件 刻录机光驱']]
[313, 'usb外置光驱光盘拷贝读取与刻录电脑通用DVD刻录机Type-c接口光驱', ['电脑办公 电脑配件 刻录机光驱']]
[314, 'dell24倍数外置光驱CDDVD刻录机USB移动外接光驱DW316台式机笔记', ['电脑办公 电脑配件 刻录机光驱']]
[315, 'USB3.0光驱DVD刻录机 电脑通用外置光驱盒读碟读光盘CD/DVD刻录机', ['电脑办公 电脑配件 刻录机光驱']]
[316, '联想ThinkpadL560 i5-6200 8G内存 240G固态 1920*1080', ['电脑办公 电脑配件 内存']]
[317, '飞行堡垒 FX63 i7-7700H-8G内存-128固态-1000G机械-GTX1050_4g', ['电脑办公 电脑配件 内存']]
[318, '海盗船复仇者16G内存条 DDR5 5200HMz台式内存高速电竞铂金统治者', ['电脑办公 电脑配件 内存']]
[319, '七彩虹(Colorful) 16G 3200 DDR4 内存条 电脑主机内存普条', ['电脑办公 电脑配件 内存']]
[320, '影驰GALAX 星曜 8/16GB DDR4 3000/3200/3600MHz 台式电脑内存条', ['电脑办公 电脑配件 内存']]
[321, 'v7华为matepad11保护套10.4平板pro10.8壳m6硅胶s5青春版10.1m3', ['电脑办公 电脑配件 平板电脑配件']]
[322, '嘉速 苹果 ipad 2021/2020款 10.2英寸防蓝光钢化膜 平板电脑防', ['电脑办公 电脑配件 平板电脑配件']]
[323, 'iPad保护套2019新款ipad2苹果air3/2全包网红pro10.5/11防摔9.7寸', ['电脑办公 电脑配件 平板电脑配件']]
[324, '小米平板4plus保护套8寸微尔莉特新款10.1英寸壳子动漫', ['电脑办公 电脑配件 平板电脑配件']]
[325, '华为MatePadPro12.6寸蓝牙键盘MatePad11带触控板磁吸保护套10.8', ['电脑办公 电脑配件 平板电脑配件']]
[326, '京东京造 排插收纳盒 充电器数据线理线器 电线桌面插排插座拖线', ['家用电器 生活电器 插座插线板']]
[327, '桌面固线夹数据线固定器汽车充电线收纳器鼠标线夹线束网线理线器', ['电脑办公 外设产品 USB周边']]
[328, '绿联桌面理线器 数据线收纳 充电线路整理 固定器', ['家居家装 生活日用 收纳用品']]
[329, '火线竞技游戏鼠标线夹固线器集线器夹线器理线器线支架夹子绕线器', ['电脑办公 外设产品 鼠标']]
[330, '戴尔华硕联想华为13.3/14/15.6寸笔记本男女士手提电脑包内胆包', ['电脑办公 电脑配件 笔记本配件']]
[331, '战枭120/240/一体式水冷CPU散热器台式机电脑静音多平台cpu散热器', ['电脑办公 电脑配件 散热器']]
[332, '【雷蛇数码福利】笔记本电脑散热器散热风扇10-15.6英寸可用', ['电脑办公 电脑配件 散热器']]
[333, '游戏悍将凛冬G400散热器电脑CPU风冷炫彩风扇四六铜管塔式多平台', ['电脑办公 电脑配件 散热器']]
[334, '笔记本散热器支架电脑底座脚垫便携垫球板静音风扇降温神器冰垫适', ['电脑办公 电脑配件 散热器']]
[335, '华硕(ASUS)ROG 龙神240一体式CPU水冷散热器', ['电脑办公 电脑配件 散热器']]
[336, '英创（备用）M9声卡【有线麦】套装直播唱歌喊麦录音设备', ['电脑办公 电脑配件 声卡扩展卡']]
[337, 'Bole/声佰乐B6手机直播声卡全套通用声卡主播K歌户外录音唱歌设备', ['电脑办公 电脑配件 声卡扩展卡']]
[338, '声卡套装手机电脑变声器通用唱歌主播麦克风K歌抖音直播设备全套', ['电脑办公 电脑配件 声卡扩展卡']]
[339, '【新款】TIANYUN天韵M9声卡+U87麦克风套装网红声卡直播设备套装', ['电脑办公 电脑配件 声卡扩展卡']]
[340, 'V8声卡直播全套手机唱歌专用变声器话筒电脑直播设备套装k歌神器', ['电脑办公 电脑配件 声卡扩展卡']]
[341, 'MSI/微星RTX 3070 8G魔龙主机电竞游戏台式机电脑全新独立显卡', ['电脑办公 电脑整机 组装电脑']]
[342, 'Colorful/七彩虹iGame GeForce RTX 3070 Ti Ultra W OC 8G 显卡', ['电脑办公 电脑配件 显卡']]
[343, '华硕 ASUS TUF GTX1660TI 6G GAMING  电竞游戏独立显卡', ['电脑办公 电脑配件 显卡']]
[344, '七彩虹显卡RTX 3090 kudan九段 台式机电竞游戏电脑配置高端', ['电脑办公 电脑配件 显卡']]
[345, '技嘉 GTX1650 OC 4GB D6机箱主机台式GTX独立显卡', ['电脑办公 电脑配件 机箱']]
[346, 'HKC/惠科 V2712 27英寸IPS  高清广视角 HDMI接口 显示器', ['电脑办公 电脑配件 显示器']]
[347, '戴尔（DELL）C2722DE 27英寸2K IPS屏 内置摄像头视频会议显示器', ['电脑办公 电脑配件 显示器']]
[348, 'AOC23.8英寸75Hz低蓝光可壁挂 窄边框 节能办公显示器 24B2XHM', ['电脑办公 电脑配件 显示器']]
[349, '小米/Redmi 23.8吋显示器便携家用办公台式电脑液晶屏官网', ['电脑办公 电脑配件 显示器']]
[350, '三星27英寸S27A800UJC 4K高清显示器Type-C90W快充台式电脑IPS', ['电脑办公 电脑配件 显示器']]
